Time,step,pos_x,pos_y,angle,action,reward,episode_reward
2019年11月17日13:54:58,1,8.172955830891930,42.5,46,1,-46.88065688174900,-89.4436561918684
2019年11月17日13:55:03,2,13.435742696126300,35.833333333333300,57,1,37.082091357468400,-52.361564834400000
2019年11月17日13:55:09,3,22.833333333333300,38.333333333333300,54,1,101.32052966648100,48.958964832081300
2019年11月17日13:55:14,4,22.833333333333300,38.333333333333300,51,1,-10.0,38.958964832081300
2019年11月17日13:55:20,5,22.833333333333300,38.333333333333300,51,1,-10.0,28.958964832081300
2019年11月17日13:55:25,6,10.843196868896500,50.396891276041700,26,1,-129.54899363712800,-100.59002880504700
2019年11月17日13:55:31,7,7.345008214314780,43.0687510172526,28,1,-44.47126449405430,-145.06129329910100
2019年11月17日13:55:38,8,7.452381134033200,28.833333333333300,32,0,-48.80007732797250,-193.86137062707300
2019年11月17日13:55:44,9,6.043859481811520,32.74561309814450,39,1,-18.129768583779400,-211.99113921085300
2019年11月17日13:55:51,10,4.833333333333330,43.333333333333300,42,0,-26.13516230269000,-238.12630151354300
2019年11月17日13:55:58,11,5.833333333333330,32.833333333333300,42,0,-19.572408693316000,-257.69871020685900
2019年11月17日13:56:06,12,6.0300547281901000,32.99180348714190,42,0,-11.748350294817300,-269.4470605016760
2019年11月17日13:56:14,13,6.166666666666670,33.166666666666700,42,0,-3.231744986806580,-272.6788054884830
2019年11月17日13:56:21,14,6.632060368855790,34.67899831136070,42,0,0.10738780486178700,-272.5714176836210
2019年11月17日13:56:29,15,6.498622894287110,34.15977986653650,42,0,-11.11276080111740,-283.68417848473800
2019年11月17日13:56:36,16,5.333333333333330,37.84291076660160,42,0,-21.603070111239600,-305.28724859597800
2019年11月17日13:56:51,0,5.340353647867840,34.41575622558590,43,1,-24.828016684508000,-24.828016684508000
2019年11月17日13:56:59,1,6.123877207438150,33.07844797770180,44,0,-21.380897127042700,-46.20891381155080
2019年11月17日13:57:04,2,5.5,48.0,43,1,-26.829744605442700,-73.03865841699350
2019年11月17日13:57:10,3,5.333333333333330,56.666666666666700,45,1,-9.259174432518760,-82.29783284951230
2019年11月17日13:57:15,4,5.333333333333330,46.833333333333300,45,1,-8.058709061581910,-90.35654191109420
2019年11月17日13:57:20,5,6.166666666666670,46.0,45,1,-1.6858191796214300,-92.04236109071560
2019年11月17日13:57:26,6,5.166666666666670,42.833333333333300,44,1,-8.381322535045970,-100.42368362576200
